name,quantity,pricePerPound
Apple,10,100
Banana,20,50
Cherry,30,200
amMwWZdOof,36,881
cDbnKbUyoP,88,130
oURQRYSVNk,94,726
tzNyPWYzKm,39,763
VUaBJdhHLF,19,129
PcNnJUOVAI,42,113
HwgpMymeEe,70,207
rvwVKVmdyv,64,506
RkOQQzTimk,28,683
iIqmddEowx,99,339
WJNZJQxLyY,84,276
xYdQYjCZhR,94,147
rQuIlTzFvG,79,414
clkWcJuVYX,77,941
xCUvWyAQXE,70,874
meyZodIrsD,94,119
hdTEeKLqCf,63,645
yYSocXlYsg,8,429
K,3,460
myClAmVDiG,21,755
gVYGCkhOte,9,882
xGqJtXnFbf,8,355
zUPbAazqxU,37,982
jpRBkZnyQi,64,165
DvqlsvbzHG,16,187
NroHHVNWRi,90,230
cIfwseXGsJ,95,568
YBMxvxLPuv,85,460
LPhSnDDVnW,55,434
MpjPhwOCCX,54,641
vmOZoybhZu,87,703
GqVFFiJUin,92,277
DatAjpxgGO,59,805
LHnnhzKLaB,8,973
tYsGApvTjo,62,285
EkFsBxOkZy,30,639
xsqfySVdzv,93,910
PeaW,33,259
VlQjIGvdQv,75,278
bQpYQdsxyY,61,587
bteVyBkKkL,17,921
YmbsajfBmk,2,610
NvQEdzNyeX,53,418
LtSsoBUrYG,24,581
HWCDFcwdOH,98,852
cHakyNDTLY,48,695
PRctUgmPUX,51,852
EYcVvWGjZy,74,945
JvphkFTGqY,18,749
zMWAQKTyMs,67,764
LtCXsPMNbz,82,701
stLaLuEzjl,55,405
peBklGTfFp,72,253
QqMOSaMBPN,87,494
NXVwuJkcQc,55,199
iWgRVbmJwY,84,114
KaNJhSawip,49,279
AmITIzsvRh,37,416
fIEADDtnfp,1,475
QJOIoRIttm,12,261
K,44,319
cwnTcACqpR,2,545
aEreEubceS,22,766
eJJdtOgzye,80,139
qUGpbNWcOg,26,616
kNvsAcNOhb,57,523
qmpYLXehRl,84,696
xktrZAyUgR,29,467
WGYWkxOUAp,10,734
eaFvJSAdDK,94,340
iCbMSToUGH,27,720
BfnEfeNLlN,59,908
cDbRfSqOab,21,125
xWbNIMoMKk,83,767
FfLktCdgFs,44,358
vlLtPJWRgx,55,399
mIcYjQgphS,44,727
VADYkjeBnG,90,521
GFrQG,90,973
iipOJioAFw,39,430
PUgMJaTDeW,95,173
DjSjFSgogi,76,907
XUXeu,91,703
OTxcqhVZgg,11,498
RBxRflnLsK,15,433
f,49,225
QdfulTTezu,71,710
ZvPbx,14,195
USpdPeNtku,42,265
i,24,403
WgDjSvpJnI,20,290
LcXZxiYHSv,60,467
ZKZTNByBxW,21,423
IluzheYFnm,30,432
lWuydJRwXJ,23,779
PCuJeUmQlC,82,837
dBCLXoTkzi,76,860
vIQjssSZRt,16,312
RMtYrLGnpF,75,654
EsyGMxgYBP,8,163
bjTwMkQkjs,17,578
qsNQoYuerM,48,682
fxKTMGgDrF,91,163
wZijguJVxZ,7,298
lGhmhunJoU,46,968
edzYOwuOGC,77,256
EzIVBOSTGs,98,876
OXY,56,186
nlDJvSdkvJ,62,619
GwlQJVbOEQ,56,784
QILGcnuQCl,65,101
XCJDFJPTrc,76,573
rRzcUuZnrw,43,635
rNkUPDhgNa,36,748
iXkEXLuATs,92,876
AGSRwrImXp,21,691
JARVctJKLS,14,701
FSyCLWDYGZ,59,450
DUDoVMIZLP,20,607
udnwGidmwx,69,886
wmmaROzFWr,100,912
KHNRViFsYU,29,717
ZrjXFPdJLZ,23,992
lFqRPkdPNa,46,273
elYzKfB,91,231
OodgtcgTih,84,567
CQOSohyyPB,86,524
ZWwIwcJpnT,28,762
UznVGYCzOv,63,716
SWunxCzHVc,73,651
LWJidpnwfQ,6,751
mnOMPaxWcK,25,630
sTyIMMXGXW,89,798
nGqgdtwTvV,33,537
letLRKNIvk,13,641
GUyeKyt,31,664
ZEqcqXuHkL,6,548
WWbvTcziDR,79,386
YwOGKtjqmg,71,939
DgOtUxTvVs,95,265
sAdiAjirL,57,601
qA,21,431
VuWkwVQBze,73,880
nghm,98,447
SOxHWZBEsG,55,313
ukGFVCqafZ,35,740
VRVDsiLrda,62,444
sVcrwyvQuG,89,183
wkgysirHyn,86,371
bzHxuXyVmZ,86,567
HpqGHcwVfe,93,170
ymWDWTnnTX,46,163
MSMMafmwPB,46,392
PGuWdVinbk,25,511
hroqDsTMwA,52,264
YMOhYyRVUo,9,379
eEXEZOfYDZ,54,883
lpQpQMhuHt,50,243
vSPurQkDHO,71,229
LRxOcKwcYY,71,229
UrSlpbfvll,22,161
FmzlDfRZGb,53,749
xOaJYezaMW,12,961
djqDueLbuP,82,221
TcDeI,71,375
DEQMreQIcC,91,345
feIyZfozSf,26,750
YsjPuLEIKJ,56,111
qlaoroNDeW,17,157
vxzIxKBbDC,39,823
YaaAxigvhx,11,125
MswKPRMjjn,41,332
PRpKbzVStS,41,134
VAoUUXZmGy,80,173
mjTtheCNmE,5,312
rCiyBXRcZE,35,889
vvrGavruBh,32,896
FfYRAqwjpD,78,531
QPBTryOUYH,71,650
xmvcjJPAkt,49,340
FtimbKjWSt,44,152
nspHdjNwhZ,6,578
SWByJFbLug,41,202
NTiWPDLJYJ,92,848
PxOOhkGvrj,81,244
vmzrTYMKKz,61,131
cMwFAGlrqd,4,454
VlGROgsbun,28,707
OBcBeZMqIV,72,843
sfIxdUaESr,76,732
AuffTGSBkP,97,123
ocOarDHqFr,70,889
LRfOTHJaeQ,17,518
iNPGTd,11,864
pVTFDCchcl,70,453
SRaviAvVpB,28,454
aBiumYjuSu,13,821
TlYOWGImrC,27,918
IxfqrzHggd,1,929
iqK,22,738
wJvoBvJbXf,22,999
uAlwYIiGsm,48,612
btrNMMjhOR,15,484
HgJmPAFZOF,18,959
VDYhqBRoZX,3,160
STLZKYhoOS,35,142
CGhAgXCavf,12,668
fmTHdqkvYV,80,954
LwSOfvpoSF,85,817
thvNsdMYaH,50,643
dGkQvVuSdp,21,184
ZidyZBeUWn,88,770
bjCyisgYfM,80,283
yeJDlkDigT,17,703
yimHBfebnJ,60,698
BKGjZeFopp,57,822
YSUNCJXK,18,321
